objectid,title,description,date,identifier,format,source
mem001,A Quaker Action Group Records,"Photograph album presented by North Vietnamese. (Includes images of dead bodies, American POWs, etc.)",1965-1967,,,
mem002,Albert Bigelow Papers,"Barometer from the ""Golden Rule"" voyage",1950,/repositories/8/archival_objects/863845,MEM DG 076 Box 1,
mem003,American Peace Society Records,"Small items, including flags, ticket, wood cuts, and medals",,/repositories/8/archival_objects/872803,MEM DG 003 Box 1,Added to memorabilia series 2023-09-28
mem004,American Peace Society Records,"Photogravure of Benjamin F. Trueblood from ""The Development of the Peace Idea,"" sent by The Plimpton Press.",,/repositories/8/resources/7401,,
mem005,American Peace Test Records,Three signs made of aluminum can strips,,,,Stored in oversize folder in Mapcase drawer
mem006,André Trocmé and Magda Trocmé Papers,Photograph album with photos from Andre Trocme's time in St. Paul d'Eyjeaux internment camp,February-March 1943,,Scrapbook #140,
mem007,Art for World Friendship Records,Art for World Friendship: Linoleum-cut artwork,,,,
mem008,Central Committee for Conscientious Objectors Records,"Papier-mâché puppet; entry for ""Interview a Vet Contest""",,,,
mem009,Civilian Public Service Personal Papers and Collected Materials,Computer printout of Paul Wilhelm study,,,,
mem010,Civilian Public Service Personal Papers and Collected Materials,"Civilian Public Service...Records, Quilt made by wives and widows of men who served in Coast & Geodetic Survey Unit (CPS #98) at (?) CPS Reunion, ca. 1990s",,,,
mem011,Coalition for a New Foreign Policy Records,Two embossers,,,,
mem012,CODEPINK [or Code Pink]: Women's Pre-Emptive Strike for Peace,"Pink Converse signed by Sean Patch, paper cup",,,MEM CDGA CodePink Box 1,added 3/30/23
mem013,CODEPINK [or Code Pink]: Women's Pre-Emptive Strike for Peace,"Banners, apparel, memorabilia",,/repositories/8/resources/11230,,added to finding aid 3/30/23
mem014,Collective Box,"*CGDA Ribbon ""Tie up the Pentagon Stop Nuclear Testing"" by WILPF
*CDGA: Mennonite Church magnets acc.05A-022
*CDGAFriends Coordinating Comittee on Peace: Small plastic sign ""Stomp Out Violence!"" (Orange letters & white background
*2 tags ""Refuse to be drafted"" From Alban Man Jr. circa WWII
*CDGA Alison Bailey -Womyn symbol charm, worn at greenham common 1987
*CDGA: Syracuse Peace Council, Plastic prison/jail wristband with paper tag ""Ngo Ngoc Duung. Student. Arrested June 8, 1972
*origami folded paper crane, mounted on a card. Text on reverse; Peace!! ""No More Hiroshimas or Nagasakis"" S. Ota, 706 Ishida City Kanagawa Japan. 
*CDGB Switzerland: Rassembement Universal Pour La Paix, Paper tag ""RUP""
*Paper hat ""No more Hiroshima"" Peace Japan
*CDGA: Courage to Resist Collected Records, Arm patch Ca. 2011
* CDGA Malleck, Dale. Medal (?) Silver, with black& red enamel. ca. 1980s-1990s
*Piece of Berlin Wall
* CDGA: Swarthmore College Peace&Conflict studies, From Lee Smithey, Patch x2 2015, Acc. 2015-039, created July 2014
*Cloth CND Symbol Patches from the CAMPAIGN FOR NUCLEAR DISARMAMENT, Eastbourne House, Bullards Place, London E2 OPT, England
*paper weight with award plaque ""June 1976 50 Year Member [National Conference on Social Welfare] Lucy P. Carner Philadelphia, PA."" CDGA Lucy P. Carner
*CDGA: A LEAGUE TO ENFORCE PEACE : COATED PAPER BANNER ""A league of Free Nations: Peace on Earth Good Will to Men"" Christmas 1918 [unfinished]
*CDGA: Peace buttons [acc. 52-085] -magnet -Pencil x2
*CDGA, Dale Malleck (mini peace pole)
*CDGA Mennonite Church USA Nov. 2015
*CDGA: Parliamentarians for Global Actions Recieved nov. 2003
*XX Congresso-Internacional Americanistas. Rio de Janeiro ^1876 Brasil. 1922. Given by A.C.Simoens da Silva. Medal (2.5"" round text on one side with flower symbol; head of... with crown on other ide"" xx CIA.
*CDGB Germany International Anti-Kriegsmuseum
*CDGA Peace Buttons[acc. 04A-076]
*Brass Plaque 6""x5"", Acc. 93A-48, Awarded for community service by the lambertville1new hope kiwanis club, 05/28/1980",,,,
mem015,Collective Box,"Germany: Misc. photograph album (Includes German anti-war exhibits, international goodwill projects, images of Ludwig Quidde, Marcelle Capy, Gertrud Baer, etc.)",1929-1932,,,
mem016,Collective Box,"*CDGB: Japan -Nezuko Ceremonial flag; gift from ?city of Japan 
*2 blue with red trim caps ""Vets for Peace in Vietnam""/""Veterans for Peace"" Given by Caroline Berger Acc: 04A-025
*Peace cranes & peace bookmarks made by children involved with the Young Explorers' Peace Project, Nie Center, Chester (PA) summer 2008
*Paper puppet, movable President Jimmy Carter ca. 1979 Iranian? Translation: """"
*Acc.85A-80 Peace Medal
*CDGA: Women National Committee to keep the U.S. Out of War- 2 metal signs (red, white and blue) Text ""keep U.S. out of War. Be Neutral
* 3 Japanese paper Friendship Dolls
*""No U.S. War in Central America & the Caribbean"" ""Jobs Peace and Freedom"" paper ribbon/flag
* CDGA: Pxfam America-Paper visor with text ""not in my house""
*Paper napkin or placemat: the UN.
*CDGB: Sweden-The Great Peace Journey Paper Poppies used as Peace Symbols
*CDGB (no CDGB Larzac as of 5/05) Paper hat with text ""Sauvonz le Larzac""
*CDGA Miriam Sharon-Advertising piece on Sharon's ""Alternative Museum
*DG 225:Alice Slater Papers-Paper dove puppet
*CDGA:Nevada Desert Experience Collected Records-Handheld sign/fan ""no drones! no nukes!""
CDBG: Germany-Augspurg, Anita (framed medallion)
*Honorary Medal Awarded to Morton Frank by President Gerald Goetting
* Tote bag from the NGO forum on Women Beijing '95 ""look at the world through women's eyes""
* Plastic-y bag The 4th world conference on women
* Singular wool sock-purple and blue
* The Peace Project by the Young Explorers in Chester-poster
*CDGA Public Action Coalition on Toys-paper bag ""Mothers Say: STOP the War in VIETNAM Women Strike for Peace""
*CDGA: Mennonite church USA 2002
*CDGA 3-D glasses from The True Minority May 2005 Acc: 05A-026
*Plastic Bag ""Peace MNP""
*Paper Shop Rite bag from Carla Johnston acc.10A-056",,,,
mem017,Collective Box,"DGs 000-199 Collective box, large items",,,,
mem018,Collective Box,Miscellaneous items,,,MEM DG 100-DG 149,
mem019,Collective Box,"Miscellaneous memorabilia from various collections including DG 151, 152, 156, 159, 168, 169, 176, 190, and 197. 
from DG 151 Peace Action earrings;
from DG 152: rubber stamps; 
from DG 156: a red ""Freeze Voter"" balloon;
from DG 159: balloons and a ribbon;
from DG 158: a General Eletric Co. pin; 
from DG 169: a bookmark/card with text in English and Japanese: ""No more Hiroshima. No more Nagasaki. We should rid the Earth of all nuclear weapons for our children. New Japan Women's Association, Kyoto"";
from DG 176: a herbarium and a lock of hair; and
from DG 190: paper cranes from the Childrens Campaign for Nuclear Disarmament;
from DG 197: a plastic bookmark",,,MEM DG 150-DG 199,
